City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date Time
Punta Arenas,CL,-53.16,-70.91,41,75,40,26.4,2018-05-28 20:00:00
Qaanaaq,GL,77.48,-69.36,21.44,85,36,6.73,2018-05-28 20:36:09
Taoudenni,ML,22.68,-3.98,74.99,19,0,7.63,2018-05-28 20:36:10
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Cidreira,BR,-30.17,-50.22,61.49,84,0,8.63,2018-05-28 20:36:13
Hermanus,ZA,-34.42,19.24,49.7,100,80,3.27,2018-05-28 20:36:14
Cape Town,ZA,-33.93,18.42,55.4,82,40,5.82,2018-05-28 20:00:00
Port Alfred,ZA,-33.59,26.89,61.4,100,20,14.79,2018-05-28 20:36:16
Tura,IN,25.52,90.21,73.55,95,92,8.97,2018-05-28 20:36:18
Saint Anthony,US,43.97,-111.68,67.39,49,40,11.41,2018-05-28 20:09:00
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
Lebu,ET,8.96,38.73,45.11,92,0,2.71,2018-05-28 20:36:21
Saint-Joseph,FR,43.56,6.97,61.99,93,0,3.36,2018-05-28 20:30:00
San Cristobal,EC,-0.39,-78.55,51.8,87,20,6.93,2018-05-28 20:00:00
Ostrovnoy,RU,68.05,39.51,42.59,98,76,3.6,2018-05-28 20:36:25
Bethel,US,60.79,-161.76,55.4,43,40,14.99,2018-05-28 19:53:00
Saint George,GR,39.45,22.34,66.2,68,40,4.7,2018-05-28 19:50:00
Arraial do Cabo,BR,-22.97,-42.02,68.15,100,44,9.75,2018-05-28 20:36:30
Upernavik,GL,72.79,-56.15,28.91,94,76,7.4,2018-05-28 20:36:31
Boca do Acre,BR,-8.76,-67.39,76.16,90,8,1.92,2018-05-28 20:36:32
Dikson,RU,73.51,80.55,26.66,100,80,12.21,2018-05-28 20:36:33
Seoul,KR,37.57,126.98,71.26,68,90,9.17,2018-05-28 20:00:00
Lere,TD,9.66,14.23,76.79,78,24,5.39,2018-05-28 20:36:36
Fortuna,ES,38.18,-1.13,64.4,88,20,1.92,2018-05-28 20:30:00
Namibe,AO,-15.19,12.15,71.84,100,0,7.63,2018-05-28 20:36:38
Marsh Harbour,BS,26.54,-77.06,79.04,97,64,20.04,2018-05-28 20:36:40
Port Alfred,ZA,-33.59,26.89,61.4,100,20,14.79,2018-05-28 20:36:16
Port Hardy,CA,50.7,-127.42,55.4,54,20,13.87,2018-05-28 20:00:00
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
Hermanus,ZA,-34.42,19.24,49.7,100,80,3.27,2018-05-28 20:36:14
Port Elgin,CA,44.44,-81.39,69.8,68,75,2.24,2018-05-28 20:00:00
Tiksi,RU,71.64,128.87,37.19,97,92,3.15,2018-05-28 20:36:47
Hami,CN,42.84,93.51,83.36,36,36,4.94,2018-05-28 20:36:48
Axim,GH,4.87,-2.24,80.39,99,88,8.3,2018-05-28 20:36:49
Atuona,PF,-9.8,-139.03,80.03,100,8,16.58,2018-05-28 20:36:51
Pederneiras,BR,-22.35,-48.78,66.2,63,0,6.93,2018-05-28 20:00:00
Atar,MR,20.52,-13.05,70.76,37,0,5.5,2018-05-28 20:36:53
Carnarvon,ZA,-30.97,22.13,38.63,98,56,9.19,2018-05-28 20:36:54
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Port Elizabeth,US,39.31,-74.98,63.52,87,90,8.05,2018-05-28 20:12:00
Punta Arenas,CL,-53.16,-70.91,41,75,40,26.4,2018-05-28 20:00:00
Hermanus,ZA,-34.42,19.24,49.7,100,80,3.27,2018-05-28 20:36:14
Tilichiki,RU,60.47,166.1,37.46,100,80,3.38,2018-05-28 20:37:00
Chokurdakh,RU,70.62,147.9,36.38,95,0,15.23,2018-05-28 20:37:02
Mildura,AU,-34.18,142.16,58.88,95,0,11.43,2018-05-28 20:37:03
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Nhulunbuy,AU,-12.18,136.78,82.4,65,40,13.87,2018-05-28 20:00:00
Hasaki,JP,35.73,140.83,77,65,75,5.82,2018-05-28 20:00:00
Egvekinot,RU,66.32,-179.17,35.39,93,0,3.15,2018-05-28 20:37:07
Hilo,US,19.71,-155.08,82.4,65,1,11.41,2018-05-28 19:53:00
Verkh-Usugli,RU,52.7,115.17,69.86,54,0,5.39,2018-05-28 20:37:10
Arraial do Cabo,BR,-22.97,-42.02,68.15,100,44,9.75,2018-05-28 20:36:30
Noumea,NC,-22.28,166.46,75.2,57,0,11.41,2018-05-28 20:00:00
Lewistown,US,40.39,-90.15,83.3,62,1,6.62,2018-05-28 20:15:00
Barrow,AR,-38.31,-60.23,48.71,73,64,3.15,2018-05-28 20:37:15
Necochea,AR,-38.55,-58.74,52.49,97,64,4.38,2018-05-28 20:34:28
Kaitangata,NZ,-46.28,169.85,43.76,86,0,2.37,2018-05-28 20:37:17
Esperance,TT,10.24,-61.45,77,88,20,3.36,2018-05-28 20:00:00
Valdivia,CL,-39.81,-73.25,48.2,93,20,1.12,2018-05-28 20:00:00
Bredasdorp,ZA,-34.53,20.04,53.6,87,88,5.82,2018-05-28 20:00:00
Port Alfred,ZA,-33.59,26.89,61.4,100,20,14.79,2018-05-28 20:36:16
Geraldton,CA,49.72,-86.95,69.8,40,20,6.93,2018-05-28 20:00:00
Vaini,IN,15.34,74.49,79.31,84,20,7.18,2018-05-28 20:37:25
Ambon,FR,47.55,-2.56,64.4,88,0,5.82,2018-05-28 20:30:00
Bandarbeyla,SO,9.49,50.81,80.12,87,0,27.54,2018-05-28 20:37:27
Ilulissat,GL,69.22,-51.1,33.8,69,80,4.7,2018-05-28 19:50:00
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Maniitsoq,GL,65.42,-52.9,29.99,97,88,2.15,2018-05-28 20:37:31
Kapaa,US,22.08,-159.32,79.63,78,90,12.75,2018-05-28 19:56:00
Kaitangata,NZ,-46.28,169.85,43.76,86,0,2.37,2018-05-28 20:37:17
Rio Gallegos,AR,-51.62,-69.22,37.4,69,0,16.11,2018-05-28 20:00:00
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
Khatanga,RU,71.98,102.47,35.3,93,64,13.78,2018-05-28 20:37:37
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Airai,TL,-8.93,125.41,82.91,46,0,1.81,2018-05-28 20:37:39
Freeport,BS,26.54,-78.7,77.69,100,92,16.58,2018-05-28 20:37:40
Tirthahalli,IN,13.69,75.25,73.01,100,92,3.15,2018-05-28 20:37:41
Riviera Beach,US,39.16,-76.51,68.16,93,90,4.7,2018-05-28 20:19:00
Longyearbyen,NO,78.22,15.63,37.4,69,75,18.34,2018-05-28 19:50:00
Lavrentiya,RU,65.58,-170.99,31.61,100,44,10.98,2018-05-28 20:37:45
Hilo,US,19.71,-155.08,82.4,65,1,11.41,2018-05-28 19:53:00
Warren,US,42.48,-83.03,82.4,40,1,1.81,2018-05-28 20:17:00
Ribeira Grande,PT,38.52,-28.7,66.44,98,100,12.77,2018-05-28 20:37:49
Assemini,IT,39.29,9,66.2,82,0,5.82,2018-05-28 19:50:00
Pevek,RU,69.7,170.27,36.92,85,0,21.27,2018-05-28 20:37:51
Tacoronte,ES,28.48,-16.41,60.3,100,76,13.87,2018-05-28 20:30:00
Bonavista,CA,48.65,-53.11,42.05,76,20,16.8,2018-05-28 20:37:54
Laguna,MX,27.52,-110.01,93.2,20,5,11.41,2018-05-28 19:40:00
Tofield,CA,53.37,-112.67,74.28,33,20,20.8,2018-05-28 20:00:00
Punta Arenas,CL,-53.16,-70.91,41,75,40,26.4,2018-05-28 20:00:00
Kapaa,US,22.08,-159.32,79.63,78,90,12.75,2018-05-28 19:56:00
Sitka,US,37.17,-99.65,76.61,73,44,10.98,2018-05-28 20:34:49
Aizkraukle,LV,56.6,25.25,58.34,75,0,3.04,2018-05-28 20:38:01
Campo Maior,ES,39.01,-7.07,51.5,92,0,8.08,2018-05-28 20:38:02
Bluff,AU,-23.58,149.07,77.78,38,0,8.41,2018-05-28 20:38:03
Pacific Grove,US,36.62,-121.92,69.4,60,1,5.82,2018-05-28 19:55:00
Ribeira Grande,PT,38.52,-28.7,66.44,98,100,12.77,2018-05-28 20:37:49
Ahipara,NZ,-35.17,173.16,57.44,86,0,14.79,2018-05-28 20:38:07
Hobart,AU,-42.88,147.33,60.8,63,75,16.11,2018-05-28 20:00:00
Busselton,AU,-33.64,115.35,65.63,100,92,19.15,2018-05-28 20:38:10
Hobart,AU,-42.88,147.33,60.8,63,75,16.11,2018-05-28 20:00:00
Fort Nelson,CA,58.81,-122.69,46.4,87,90,9.17,2018-05-28 20:00:00
Victoria,BN,5.28,115.24,83.43,83,75,3.36,2018-05-28 20:00:00
Kutum,SD,14.2,24.66,63.65,62,0,2.71,2018-05-28 20:38:15
Geraldton,CA,49.72,-86.95,69.8,40,20,6.93,2018-05-28 20:00:00
Taltal,CL,-25.41,-70.49,48.17,80,24,1.92,2018-05-28 20:38:17
Guerrero Negro,MX,27.97,-114.04,60.14,91,8,9.98,2018-05-28 20:38:18
Normandin,CA,48.84,-72.53,60.8,100,40,3.36,2018-05-28 20:00:00
Hobart,AU,-42.88,147.33,60.8,63,75,16.11,2018-05-28 20:00:00
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Punta Arenas,CL,-53.16,-70.91,41,75,40,26.4,2018-05-28 20:00:00
Saint-Pierre,FR,48.95,4.24,60.13,93,64,4.7,2018-05-28 20:30:00
Akom,GH,6.86,-1.64,74.09,99,88,5.95,2018-05-28 20:38:26
Kodiak,US,39.95,-94.76,78.8,88,20,6.62,2018-05-28 19:53:00
Yashkul,RU,46.17,45.34,60.5,43,0,14.23,2018-05-28 20:38:28
Shingu,JP,33.72,135.99,73.4,73,75,4.7,2018-05-28 20:00:00
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
Cherskiy,RU,68.75,161.3,46.19,71,100,5.95,2018-05-28 20:38:32
Hobart,AU,-42.88,147.33,60.8,63,75,16.11,2018-05-28 20:00:00
San Pedro de Macoris,DO,18.46,-69.3,77,83,40,6.93,2018-05-28 20:00:00
Busselton,AU,-33.64,115.35,65.63,100,92,19.15,2018-05-28 20:38:10
Mahebourg,MU,-20.41,57.7,66.2,93,20,5.82,2018-05-28 20:00:00
Kapaa,US,22.08,-159.32,79.63,78,90,12.75,2018-05-28 19:56:00
Ilhabela,BR,-23.78,-45.36,70.49,99,0,19.71,2018-05-28 20:38:39
Punta Arenas,CL,-53.16,-70.91,41,75,40,26.4,2018-05-28 20:00:00
Camargo,MX,27.69,-105.17,79.22,23,0,2.93,2018-05-28 20:38:41
Tasiilaq,GL,65.61,-37.64,33.8,86,92,23.04,2018-05-28 19:50:00
Tasiilaq,GL,65.61,-37.64,33.8,86,92,23.04,2018-05-28 19:50:00
Campos Novos,BR,-27.4,-51.22,54.02,93,0,8.97,2018-05-28 20:38:45
Cape Town,ZA,-33.93,18.42,55.4,82,40,5.82,2018-05-28 20:00:00
Komsomolskiy,RU,67.55,63.78,26.84,100,68,9.42,2018-05-28 20:38:47
Severo-Kurilsk,RU,50.68,156.12,41.78,91,0,3.83,2018-05-28 20:38:48
Kimbe,PG,-5.56,150.15,84.62,97,48,5.73,2018-05-28 20:38:50
Torbay,CA,47.66,-52.73,42.8,56,40,11.41,2018-05-28 20:00:00
Hithadhoo,MV,-0.6,73.08,79.85,100,100,18.48,2018-05-28 20:38:52
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Vaini,IN,15.34,74.49,79.31,84,20,7.18,2018-05-28 20:37:25
Saint Anthony,US,43.97,-111.68,67.39,49,40,11.41,2018-05-28 20:09:00
Agadir,MA,30.42,-9.58,62.6,77,0,3.36,2018-05-28 20:00:00
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
Esperance,TT,10.24,-61.45,77,88,20,3.36,2018-05-28 20:00:00
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
Lavrentiya,RU,65.58,-170.99,31.61,100,44,10.98,2018-05-28 20:37:45
Punta Arenas,CL,-53.16,-70.91,41,75,40,26.4,2018-05-28 20:00:00
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Victoria,BN,5.28,115.24,83.43,83,75,3.36,2018-05-28 20:00:00
Atuona,PF,-9.8,-139.03,80.03,100,8,16.58,2018-05-28 20:36:51
Hami,CN,42.84,93.51,83.36,36,36,4.94,2018-05-28 20:36:48
Kununurra,AU,-15.77,128.74,86,35,0,6.93,2018-05-28 20:00:00
Laguna de Duero,ES,41.58,-4.72,48.44,93,0,4.38,2018-05-28 20:39:11
Sabang,PH,13.72,123.58,88.4,80,32,5.17,2018-05-28 20:39:13
Tuktoyaktuk,CA,69.44,-133.03,26.6,86,90,10.29,2018-05-28 20:00:00
Hilo,US,19.71,-155.08,82.4,65,1,11.41,2018-05-28 19:53:00
Zdvinsk,RU,54.7,78.67,58.07,63,76,18.25,2018-05-28 20:39:16
Khatanga,RU,71.98,102.47,35.3,93,64,13.78,2018-05-28 20:37:37
Hasaki,JP,35.73,140.83,77,65,75,5.82,2018-05-28 20:00:00
Provideniya,RU,64.42,-173.23,35.6,80,90,11.18,2018-05-28 20:00:00
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Qobustan,AZ,40.08,49.41,60.8,87,0,9.17,2018-05-28 20:00:00
Padang,ID,-0.92,100.36,79.94,100,0,2.26,2018-05-28 20:39:23
Cape Town,ZA,-33.93,18.42,55.4,82,40,5.82,2018-05-28 20:00:00
Atuona,PF,-9.8,-139.03,80.03,100,8,16.58,2018-05-28 20:36:51
Chuy,UY,-33.69,-53.46,67.07,76,8,15.23,2018-05-28 20:39:27
Longyearbyen,NO,78.22,15.63,37.4,69,75,18.34,2018-05-28 19:50:00
Turhal,TR,40.38,36.08,66.2,72,75,5.82,2018-05-28 19:50:00
Port Alfred,ZA,-33.59,26.89,61.4,100,20,14.79,2018-05-28 20:36:16
Albany,US,42.65,-73.75,65.71,72,75,10.29,2018-05-28 19:54:00
Hall,NL,52.11,6.1,68.99,82,90,9.17,2018-05-28 20:25:00
Georgetown,GY,6.8,-58.16,75.2,100,20,4.7,2018-05-28 20:00:00
Quelimane,MZ,-17.88,36.89,73.4,88,20,3.6,2018-05-28 19:00:00
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Butaritari,KI,3.07,172.79,82.82,100,56,5.95,2018-05-28 20:39:39
Vaini,IN,15.34,74.49,79.31,84,20,7.18,2018-05-28 20:37:25
Visby,SE,57.64,18.3,50,93,0,3.36,2018-05-28 20:20:00
Aklavik,CA,68.22,-135.01,39.2,55,5,9.17,2018-05-28 20:00:00
Bredasdorp,ZA,-34.53,20.04,53.6,87,88,5.82,2018-05-28 20:00:00
Klyuchi,RU,52.25,79.17,59.78,52,88,13.67,2018-05-28 20:39:45
Saryagash,KZ,41.45,69.17,55.4,76,0,4.7,2018-05-28 20:00:00
Hermanus,ZA,-34.42,19.24,49.7,100,80,3.27,2018-05-28 20:36:14
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
New Norfolk,AU,-42.78,147.06,60.8,63,75,16.11,2018-05-28 20:00:00
Kaitangata,NZ,-46.28,169.85,43.76,86,0,2.37,2018-05-28 20:37:17
Ostrovnoy,RU,68.05,39.51,42.59,98,76,3.6,2018-05-28 20:36:25
Turukhansk,RU,65.8,87.96,36.83,97,92,13.22,2018-05-28 20:39:53
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Cape Town,ZA,-33.93,18.42,55.4,82,40,5.82,2018-05-28 20:00:00
Thompson,CA,55.74,-97.86,73.4,28,20,12.75,2018-05-28 20:00:00
Beringovskiy,RU,63.05,179.32,33.14,96,92,19.71,2018-05-28 20:39:57
Barrow,AR,-38.31,-60.23,48.71,73,64,3.15,2018-05-28 20:37:15
Avera,US,33.19,-82.53,75.16,78,75,9.17,2018-05-28 20:08:00
Jamestown,AU,-33.21,138.6,55.64,71,80,17.36,2018-05-28 20:40:01
Coahuayana,MX,18.62,-100.35,73.01,60,0,2.37,2018-05-28 20:40:03
Georgetown,GY,6.8,-58.16,75.2,100,20,4.7,2018-05-28 20:00:00
Lorengau,PG,-2.02,147.27,80.66,100,68,4.72,2018-05-28 20:40:05
Kumluca,TR,36.37,30.29,40.61,87,0,1.36,2018-05-28 20:40:06
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Cape Town,ZA,-33.93,18.42,55.4,82,40,5.82,2018-05-28 20:00:00
Vila,IT,45.18,8.4,59.45,93,75,5.82,2018-05-28 20:20:00
Coihaique,CL,-45.58,-72.07,39.99,93,90,1.12,2018-05-28 20:00:00
Port Elizabeth,US,39.31,-74.98,63.52,87,90,8.05,2018-05-28 20:12:00
Saskylakh,RU,71.97,114.09,33.14,95,92,18.37,2018-05-28 20:40:13
Garissa,KE,-0.46,39.64,73.1,73,0,10.2,2018-05-28 20:40:15
New Norfolk,AU,-42.78,147.06,60.8,63,75,16.11,2018-05-28 20:00:00
Castro,CL,-42.48,-73.76,45.11,100,80,3.27,2018-05-28 20:40:17
Busselton,AU,-33.64,115.35,65.63,100,92,19.15,2018-05-28 20:38:10
Port Elizabeth,US,39.31,-74.98,63.52,87,90,8.05,2018-05-28 20:12:00
Albany,US,42.65,-73.75,65.71,72,75,10.29,2018-05-28 19:54:00
Norman Wells,CA,65.28,-126.83,50,57,75,6.93,2018-05-28 20:00:00
Georgetown,GY,6.8,-58.16,75.2,100,20,4.7,2018-05-28 20:00:00
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Busselton,AU,-33.64,115.35,65.63,100,92,19.15,2018-05-28 20:38:10
Atuona,PF,-9.8,-139.03,80.03,100,8,16.58,2018-05-28 20:36:51
Severo-Kurilsk,RU,50.68,156.12,41.78,91,0,3.83,2018-05-28 20:38:48
Nanortalik,GL,60.14,-45.24,32.78,100,0,7.29,2018-05-28 20:40:29
Provideniya,RU,64.42,-173.23,35.6,80,90,11.18,2018-05-28 20:00:00
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Sur,OM,22.57,59.53,88.22,82,0,9.75,2018-05-28 20:40:32
Constitucion,MX,23.99,-104.67,87.8,16,75,14.99,2018-05-28 19:43:00
Butaritari,KI,3.07,172.79,82.82,100,56,5.95,2018-05-28 20:39:39
Torrelodones,ES,40.58,-3.93,56.17,100,20,2.24,2018-05-28 20:30:00
